naoh+hcl;NaOH+HCl->NaCl+H2O
fe+h2so4;Fe+H2SO4->FeSO4+H2/2Fe+6H2SO4->Fe2(SO4)3+3SO2+6H2O(điều kiện: H2SO4 đặc nóng)/8Fe+15H2SO4->4Fe2(SO4)3+3H2S+12H2O(đk:H2SO4 đặc nóng)
fe+hcl;Fe+2HCL->FeCl2+H24
fe+hno3;Fe+HNO3->Fe(No3)3+NO+H2O(điều kiện HNO3 đặc nóng)/Fe+4HNO3->Fe(No3)3+NO+2H2O(điều kiện HNO3 loãng)/8Fe+30HNO3->8Fe(No3)3+3N2O+15H2O(điều kiện HNO3 loãng)/8Fe+30HNO3->8Fe(NO3)3+3NH4NO3+9H2O(điều kiện HNO3 Lõang)/10Fe+36HNO3->10Fe(NO3)3+3N2+18H2O(điều kiện HNO3 loãng)
zn+hcl;Zn+2HCl->ZnCl2+H2
zn+h2so4;Zn+H2SO4->ZnSO4+H2/Zn+H2SO4->ZnSO4+SO2+2H2O(điều kiện H2SO4 đặc nóng)/3Zn+4H2SO4->3ZnSO4+S+4H2O(điều kiện H2SO4 đặc)/4Zn+5H2SO4->4ZnSO4+H2S+4H2O(điều kiện H2SO4 đặc)
zn+hno3;10HNO3 + 4Zn → 3H2O + NH4NO3 + 4Zn(NO3)2/8HNO3 + 3Zn → 4H2O + 2NO + 3Zn(NO3)2/80HNO3 + 31Zn → 40H2O + NO + NO2 + 6N2O + 31Zn(NO3)2/10HNO3 + 4Zn → 5H2O + N2O + 4Zn(NO3)2/4HNO3 + Zn → 2H2O + 2NO2 + Zn(NO3)2/6HNO3 + 2Zn → 3H2O + NO + NO2 + 2Zn(NO3)2/2HNO3 + Zn → H2 + Zn(NO3)2
kmno4+h2o+so2;2H2O + 2KMnO4 + 5SO2 → 2H2SO4 + 2MnSO4 + K2SO4(điều kiện H2SO4 loãng)
feo+h2o+kmno4;10FeO + 18H2SO4 + 2KMnO4 → 5Fe2(SO4)3 + 18H2O + 2MnSO4 + K2SO4
kmno4;2KMnO4 → MnO2 + O2 + K2MnO4 (điều kiện nhiệt độ)
nabr+kmno4+h2so4;8H2SO4 + 2KMnO4 + 10NaBr → 5Br2 + 8H2O + 2MnSO4 + 5Na2SO4 + K2SO4
c2h4+h2o+kmno4;3C2H4 + 4H2O + 2KMnO4 → 2KOH + 2MnO2 + 3C2H4(OH)2
h2so4+kmno4+feso4;8H2SO4 + 2KMnO4 + 10FeSO4 → 5Fe2(SO4)3 + 8H2O + 2MnSO4 + 1K2SO4
c2h4+h2o+kmno4;3C2H4 + 4H2O + 2KMnO4 → 2KOH + 2MnO2 + 3C2H4(OH)2
h2so4+kmno4+no;9H2SO4 + 6KMnO4 + 10NO → 4H2O + 10HNO3 + 6MnSO4 + 3K2SO4
kmno4+koh+mnso4;2KMnO4 + 4KOH + 3MnSO4 → 2H2O + 5MnO2 + 3K2SO4
kmno4+hbr;2KMnO4 + 16HBr → Br2 + 8H2O + 2KBr + 2MnBr2
kmno4+hcl;16HCl + 2KMnO4 → 5Cl2 + 8H2O + 2KCl + 2MnCl2
kmno4+h2o+na2so3;H2O + 2KMnO4 + 3Na2SO3 → 2KOH + 2MnO2 + 3Na2SO4
h2o+kmno4+mnso4;2H2O + 2KMnO4 + 3MnSO4 → 2H2SO4 + 5MnO2 + K2SO4
h2o2+kmno4;3H2O2 + 2KMnO4 → 2H2O + 2KOH + 2MnO2 + 3O2
kmno4+koh+k2so3;2KMnO4 + 2KOH + K2SO3 → H2O + K2SO4 + 2K2MnO4
h2o2+h2so4+kmno4;5H2O2 + 3H2SO4 + 2KMnO4 → 8H2O + 2MnSO4 + 5O2 + K2SO4
